Aerial                         @3.0.9          aqua/Aerial
AppHack                        @1.1            aqua/AppHack
AppKiDo                        @0.997          aqua/AppKiDo
AquaLess                       @1.6            aqua/AquaLess
ArpSpyX                        @1.3            aqua/ArpSpyX
AssignmentTrackerX             @2.0beta3.1     aqua/AssignmentTrackerX
BGHUDAppKit                    @0.7            aqua/BGHUDAppKit
BigSQL                         @1.0            aqua/BigSQL
BiggerSQL                      @1.3.9          aqua/BiggerSQL
BwanaDik                       @3.3            aqua/BwanaDik
Cenon                          @4.0.6          aqua/Cenon
Chmox                          @0.4            aqua/Chmox
CocoaDialog                    @2.3.7          aqua/CocoaDialog
CosmicDebris                   @2.1            aqua/CosmicDebris
CronniX                        @3.0.2          aqua/CronniX
DateLine                       @0.61           aqua/DateLine
DesktopManager                 @0.5.3          aqua/DesktopManager
DiskJockey                     @2.1            aqua/DiskJockey
djjr                           @2.1            aqua/DiskJockey
FFView                         @0.9.10         aqua/FFView
FScript                        @2.1            aqua/FScript
Freecell                       @2.3            aqua/Freecell
GPGAppKit                      @A1             aqua/GPGAppKit
GrandPerspective               @3.0.0          aqua/GrandPerspective
HandBrake71                    @0.7.1          aqua/HandBrake71
HermesApp                      @1.3.1          aqua/HermesApp
HideSysFiles                   @1.0            aqua/HideSysFiles
IcyJuice                       @1.0.2          aqua/IcyJuice
KoLmafia                       @14.8           aqua/KoLmafia
LanguageTool                   @5.9            aqua/LanguageTool
LimeChat                       @2.47           aqua/LimeChat
Lingon                         @2.1.1          aqua/Lingon
LyX                            @2.3.6.1        aqua/LyX
LyX1                           @1.6.10         aqua/LyX1
MacBiff                        @1.1.16         aqua/MacBiff
MailtoMutt                     @0.4.1          aqua/MailtoMutt
ManOpen                        @2.6            aqua/ManOpen
McBopomofo                     @0.9.11         aqua/McBopomofo
MenuMeters                     @2.1.6.1        aqua/MenuMeters
MongoExplorer                  @1.0.2          aqua/MongoExplorer
MongoHub                       @2.7b10         aqua/MongoHub
MyLoss                         @1.0            aqua/MyLoss
NetBeans                       @15             aqua/NetBeans
NicePlayer                     @0.95           aqua/NicePlayer
NotificationWatcher            @20090907       aqua/NotificationWatcher
Okapi                          @1.44.0         aqua/Okapi
OmegaT                         @4.3.3          aqua/OmegaT
OmegaT-latest                  @5.7.1          aqua/OmegaT
PRICE-aqua                     @1.3.0          aqua/PRICE-aqua
Platypus                       @5.4            aqua/Platypus
Platypus44                     @4.4            aqua/Platypus44
PsyncX                         @2.2.2          aqua/PsyncX
Quicksilver                    @1.3.1          aqua/Quicksilver
Readown                        @1.0.5          aqua/Readown
SIDPLAY                        @4.2            aqua/SIDPLAY
SSHKeychain                    @0.8.2          aqua/SSHKeychain
Scroll-Reverser                @1.7.6          aqua/Scroll-Reverser
Sequel-Ace                     @2.3.1          aqua/Sequel-Ace
ShiftIt                        @1.6.6          aqua/ShiftIt
Smultron                       @3.6b1          aqua/Smultron
TOra                           @2.1.3          aqua/TOra
TeXShop                        @4.79           aqua/TeXShop
TeXShop4                       @4.79           aqua/TeXShop4
X-MasTree                      @1.4            aqua/X-MasTree
alacritty                      @0.11.0         aqua/alacritty
android-file-transfer-linux    @3.9            aqua/android-file-transfer-linux
aquaterm                       @1.1.1          aqua/aquaterm
barrier                        @2.4.0          aqua/barrier
binclocken                     @1.6            aqua/binclocken
cool-retro-term                @1.2.0          aqua/cool-retro-term
cotvnc                         @2.2b2          aqua/cotvnc
cotvnc-devel                   @2016-01-27     aqua/cotvnc
djview                         @4.12           aqua/djview
djview-qt5                     @4.12           aqua/djview
dnsupdate                      @2.8            aqua/dnsupdate
doxygen-launcher               @1.9.1          aqua/doxygen-launcher
